"Code: hostile= 1; orderly= 2; neutral =3; unclear= 4, irrelevant =5; duplicate = 0",docname,from,to,pre,keyword,post,pattern,Unnamed: 0,file_id,article_id,sn,newspaper_name,year,month,day,page,edition,mod_id,URL,newspaper_state,filepath
3,2177_0.txt,1,1,,mob,"hangs two negroes lynches tramps accused of killing a policeman . cornelia , ga . , march 2 . - two un identified negro tramps , charged with killing policeman john gibby , were taken from a posse and lynched near here by a mob of masked men . they",mob,3441,2177,0,sn85040245,"Ladysmith news-budget (Ladysmith, Rusk...)",1913,3,7,seq-6,ed-1,1,http://localhost:62222/pages/2177/whi_knarl_ver02/sn85040245/3/7/ed-1/seq-6/1,Wisconsin,../sample_corpus_1pct_article_text/2177_0.txt
0,2177_0.txt,1,1,,mob,"hangs two negroes lynches tramps accused of killing a policeman . cornelia , ga . , march 2 . - two un identified negro tramps , charged with killing policeman john gibby , were taken from a posse and lynched near here by a mob of masked men . they",mob,3441,2177,0,sn85040245,"Ladysmith news-budget (Ladysmith, Rusk...)",1913,3,7,seq-6,ed-1,1,http://localhost:62222/pages/2177/whi_knarl_ver02/sn85040245/3/7/ed-1/seq-6/1,Wisconsin,../sample_corpus_1pct_article_text/2177_0.txt
3,2177_0.txt,46,46,"mob hangs two negroes lynches tramps accused of killing a policeman . cornelia , ga . , march 2 . - two un identified negro tramps , charged with killing policeman john gibby , were taken from a posse and lynched near here by a",mob,of masked men . they were hanged to a telegraph pole . the tramps came into cornelia on a freight train and were arrested by the policeman . as gibby was hand cuffing one of them the other snatched the officer's pistol and gibby twice . shot,mob,3441,2177,0,sn85040245,"Ladysmith news-budget (Ladysmith, Rusk...)",1913,3,7,seq-6,ed-1,1,http://localhost:62222/pages/2177/whi_knarl_ver02/sn85040245/3/7/ed-1/seq-6/1,Wisconsin,../sample_corpus_1pct_article_text/2177_0.txt
0,2177_0.txt,46,46,"mob hangs two negroes lynches tramps accused of killing a policeman . cornelia , ga . , march 2 . - two un identified negro tramps , charged with killing policeman john gibby , were taken from a posse and lynched near here by a",mob,of masked men . they were hanged to a telegraph pole . the tramps came into cornelia on a freight train and were arrested by the policeman . as gibby was hand cuffing one of them the other snatched the officer's pistol and gibby twice . shot,mob,3441,2177,0,sn85040245,"Ladysmith news-budget (Ladysmith, Rusk...)",1913,3,7,seq-6,ed-1,1,http://localhost:62222/pages/2177/whi_knarl_ver02/sn85040245/3/7/ed-1/seq-6/1,Wisconsin,../sample_corpus_1pct_article_text/2177_0.txt
0,2177_0.txt,48,48,"mob hangs two negroes lynches tramps accused of killing a policeman . cornelia , ga . , march 2 . - two un identified negro tramps , charged with killing policeman john gibby , were taken from a posse and lynched near here by a mob of",masked,men . they were hanged to a telegraph pole . the tramps came into cornelia on a freight train and were arrested by the policeman . as gibby was hand cuffing one of them the other snatched the officer's pistol and gibby twice . shot,mask,3441,2177,0,sn85040245,"Ladysmith news-budget (Ladysmith, Rusk...)",1913,3,7,seq-6,ed-1,1,http://localhost:62222/pages/2177/whi_knarl_ver02/sn85040245/3/7/ed-1/seq-6/1,Wisconsin,../sample_corpus_1pct_article_text/2177_0.txt
0,2177_0.txt,48,49,"mob hangs two negroes lynches tramps accused of killing a policeman . cornelia , ga . , march 2 . - two un identified negro tramps , charged with killing policeman john gibby , were taken from a posse and lynched near here by a mob of",masked men,. they were hanged to a telegraph pole . the tramps came into cornelia on a freight train and were arrested by the policeman . as gibby was hand cuffing one of them the other snatched the officer's pistol and gibby twice . shot,masked men,3441,2177,0,sn85040245,"Ladysmith news-budget (Ladysmith, Rusk...)",1913,3,7,seq-6,ed-1,1,http://localhost:62222/pages/2177/whi_knarl_ver02/sn85040245/3/7/ed-1/seq-6/1,Wisconsin,../sample_corpus_1pct_article_text/2177_0.txt
1,2193_0.txt,51,51,"a negro lynched bad negro lynched and burned by associated press to the news . roanoke , va . , sept . 21 . the negro , thomas smith , who assaulted mrs . henry bishop last night , was lynched this morn ing . he was found by the",mob,"where the authorities had secreted him and dragged to his death . not content , the infurated mob carried his body to the river and there in the presence of a throng of thou sands of wildly people , the negro's body was excited incinerated .",mob,2873,2193,0,sn86088201,"The Waco evening news (Waco, Tex.)",1893,9,21,seq-3,ed-1,1,http://localhost:62222/pages/2193/txdn_argentina_ver01/sn86088201/9/21/ed-1/seq-3/1,Texas,../sample_corpus_1pct_article_text/2193_0.txt
0,2193_0.txt,51,51,"a negro lynched bad negro lynched and burned by associated press to the news . roanoke , va . , sept . 21 . the negro , thomas smith , who assaulted mrs . henry bishop last night , was lynched this morn ing . he was found by the",mob,"where the authorities had secreted him and dragged to his death . not content , the infurated mob carried his body to the river and there in the presence of a throng of thou sands of wildly people , the negro's body was excited incinerated .",mob,2873,2193,0,sn86088201,"The Waco evening news (Waco, Tex.)",1893,9,21,seq-3,ed-1,1,http://localhost:62222/pages/2193/txdn_argentina_ver01/sn86088201/9/21/ed-1/seq-3/1,Texas,../sample_corpus_1pct_article_text/2193_0.txt
0,2193_0.txt,69,69,". , sept . 21 . the negro , thomas smith , who assaulted mrs . henry bishop last night , was lynched this morn ing . he was found by the mob where the authorities had secreted him and dragged to his death . not content , the infurated",mob,"carried his body to the river and there in the presence of a throng of thou sands of wildly people , the negro's body was excited incinerated .",mob,2873,2193,0,sn86088201,"The Waco evening news (Waco, Tex.)",1893,9,21,seq-3,ed-1,1,http://localhost:62222/pages/2193/txdn_argentina_ver01/sn86088201/9/21/ed-1/seq-3/1,Texas,../sample_corpus_1pct_article_text/2193_0.txt
0,2193_0.txt,69,69,". , sept . 21 . the negro , thomas smith , who assaulted mrs . henry bishop last night , was lynched this morn ing . he was found by the mob where the authorities had secreted him and dragged to his death . not content , the infurated",mob,"carried his body to the river and there in the presence of a throng of thou sands of wildly people , the negro's body was excited incinerated .",mob,2873,2193,0,sn86088201,"The Waco evening news (Waco, Tex.)",1893,9,21,seq-3,ed-1,1,http://localhost:62222/pages/2193/txdn_argentina_ver01/sn86088201/9/21/ed-1/seq-3/1,Texas,../sample_corpus_1pct_article_text/2193_0.txt
0,2193_1.txt,51,51,"another account . a squad of men hanged a negro in the residence portion of the city at 5 o'clock this morning , then rid died the body with bullets and placed a placard on it saying , """" this is mayor trout's friend . """" after an inquest the",mob,"seized the body , dragged it through the to the river . the body ' n piles of brushwood and wood on the leavi the head bare . the pile was saturated with coal oil and a match was ap plied . the body was consumed within an hour .",mob,2875,2193,1,sn86088201,"The Waco evening news (Waco, Tex.)",1893,9,21,seq-3,ed-1,1,http://localhost:62222/pages/2193/txdn_argentina_ver01/sn86088201/9/21/ed-1/seq-3/1,Texas,../sample_corpus_1pct_article_text/2193_1.txt
0,2193_1.txt,51,51,"another account . a squad of men hanged a negro in the residence portion of the city at 5 o'clock this morning , then rid died the body with bullets and placed a placard on it saying , """" this is mayor trout's friend . """" after an inquest the",mob,"seized the body , dragged it through the to the river . the body ' n piles of brushwood and wood on the leavi the head bare . the pile was saturated with coal oil and a match was ap plied . the body was consumed within an hour .",mob,2875,2193,1,sn86088201,"The Waco evening news (Waco, Tex.)",1893,9,21,seq-3,ed-1,1,http://localhost:62222/pages/2193/txdn_argentina_ver01/sn86088201/9/21/ed-1/seq-3/1,Texas,../sample_corpus_1pct_article_text/2193_1.txt
1,2193_1.txt,115,115,body ' n piles of brushwood and wood on the leavi the head bare . the pile was saturated with coal oil and a match was ap plied . the body was consumed within an hour . the cremation was witnessed by several thousand people . at one time the,mob,"threatened to bury the negro in mayor trout's yard . there is much indignation against the mayor and militia . many threats of vengeance have been openly made . captain bird , commander of the militia , has left town . mayor trout , despite his wound , also dis",mob,2875,2193,1,sn86088201,"The Waco evening news (Waco, Tex.)",1893,9,21,seq-3,ed-1,1,http://localhost:62222/pages/2193/txdn_argentina_ver01/sn86088201/9/21/ed-1/seq-3/1,Texas,../sample_corpus_1pct_article_text/2193_1.txt
0,2193_1.txt,115,115,body ' n piles of brushwood and wood on the leavi the head bare . the pile was saturated with coal oil and a match was ap plied . the body was consumed within an hour . the cremation was witnessed by several thousand people . at one time the,mob,"threatened to bury the negro in mayor trout's yard . there is much indignation against the mayor and militia . many threats of vengeance have been openly made . captain bird , commander of the militia , has left town . mayor trout , despite his wound , also dis",mob,2875,2193,1,sn86088201,"The Waco evening news (Waco, Tex.)",1893,9,21,seq-3,ed-1,1,http://localhost:62222/pages/2193/txdn_argentina_ver01/sn86088201/9/21/ed-1/seq-3/1,Texas,../sample_corpus_1pct_article_text/2193_1.txt
3,2195_0.txt,10,10,isaac harper ( colored ) was lynched by a,mob,"at calera va . , for assault on a white woman . ,",mob,2110,2195,0,sn87096037,"The Hope pioneer (Hope, N.D.)",1893,8,4,seq-2,ed-1,1,http://localhost:62222/pages/2195/ndhi_argon_ver01/sn87096037/8/4/ed-1/seq-2/1,North Dakota,../sample_corpus_1pct_article_text/2195_0.txt
0,2195_0.txt,10,10,isaac harper ( colored ) was lynched by a,mob,"at calera va . , for assault on a white woman . ,",mob,2110,2195,0,sn87096037,"The Hope pioneer (Hope, N.D.)",1893,8,4,seq-2,ed-1,1,http://localhost:62222/pages/2195/ndhi_argon_ver01/sn87096037/8/4/ed-1/seq-2/1,North Dakota,../sample_corpus_1pct_article_text/2195_0.txt
1,2195_2.txt,16,16,"tom preston and will thompson , negro boys , were tortured to death by a",mob,"at gaston , s . c . they guilty of criminal assault . were",mob,2111,2195,2,sn87096037,"The Hope pioneer (Hope, N.D.)",1893,8,4,seq-2,ed-1,1,http://localhost:62222/pages/2195/ndhi_argon_ver01/sn87096037/8/4/ed-1/seq-2/1,North Dakota,../sample_corpus_1pct_article_text/2195_2.txt
0,2195_2.txt,16,16,"tom preston and will thompson , negro boys , were tortured to death by a",mob,"at gaston , s . c . they guilty of criminal assault . were",mob,2111,2195,2,sn87096037,"The Hope pioneer (Hope, N.D.)",1893,8,4,seq-2,ed-1,1,http://localhost:62222/pages/2195/ndhi_argon_ver01/sn87096037/8/4/ed-1/seq-2/1,North Dakota,../sample_corpus_1pct_article_text/2195_2.txt
3,2195_3.txt,2,2,a,mob,"lyuched handy kaigler , the third and last of the negroes who assaulted the young wife of sightler at gaston , s . c . archie",mob,2112,2195,3,sn87096037,"The Hope pioneer (Hope, N.D.)",1893,8,4,seq-2,ed-1,1,http://localhost:62222/pages/2195/ndhi_argon_ver01/sn87096037/8/4/ed-1/seq-2/1,North Dakota,../sample_corpus_1pct_article_text/2195_3.txt
0,2195_3.txt,2,2,a,mob,"lyuched handy kaigler , the third and last of the negroes who assaulted the young wife of sightler at gaston , s . c . archie",mob,2112,2195,3,sn87096037,"The Hope pioneer (Hope, N.D.)",1893,8,4,seq-2,ed-1,1,http://localhost:62222/pages/2195/ndhi_argon_ver01/sn87096037/8/4/ed-1/seq-2/1,North Dakota,../sample_corpus_1pct_article_text/2195_3.txt
1,2213_0.txt,11,11,joe coe hanged to a trolley wire by an infuriated,mob,"this morning , story of the assault on the jail . determination of the self appointed avengers of little lizzie yates . would not be balked nor hindered . words of counsel from cool men were not listened to . city authorities were powerless . wild clamor for a fiend's",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
0,2213_0.txt,11,11,joe coe hanged to a trolley wire by an infuriated,mob,"this morning , story of the assault on the jail . determination of the self appointed avengers of little lizzie yates . would not be balked nor hindered . words of counsel from cool men were not listened to . city authorities were powerless . wild clamor for a fiend's",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
2,2213_0.txt,634,634,"and in the down . to resorts all the early part of the even ing knots of men collected and talked about the awful crime of the negro . there seemed to ve but one opinion , and that was that the negro must hang at the hands of a",mob,". a hundred or so curious ones hung about the jail and talked the matter over , but there did not seem to be anyone to organize the mob and lead it . at 8 : 30 a crowd collected around the city jail and a delegation went below to",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
0,2213_0.txt,634,634,"and in the down . to resorts all the early part of the even ing knots of men collected and talked about the awful crime of the negro . there seemed to ve but one opinion , and that was that the negro must hang at the hands of a",mob,". a hundred or so curious ones hung about the jail and talked the matter over , but there did not seem to be anyone to organize the mob and lead it . at 8 : 30 a crowd collected around the city jail and a delegation went below to",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
0,2213_0.txt,663,663,"there seemed to ve but one opinion , and that was that the negro must hang at the hands of a mob . a hundred or so curious ones hung about the jail and talked the matter over , but there did not seem to be anyone to organize the",mob,and lead it . at 8 : 30 a crowd collected around the city jail and a delegation went below to see if sinith was confined there . jailor havey assured the committee that the prisoner had been taken to the county jail and the crowd started for the brick,mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
0,2213_0.txt,663,663,"there seemed to ve but one opinion , and that was that the negro must hang at the hands of a mob . a hundred or so curious ones hung about the jail and talked the matter over , but there did not seem to be anyone to organize the",mob,and lead it . at 8 : 30 a crowd collected around the city jail and a delegation went below to see if sinith was confined there . jailor havey assured the committee that the prisoner had been taken to the county jail and the crowd started for the brick,mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
1,2213_0.txt,1086,1086,"we'll tear him limb from limb , """" and the cries drowned the governor's voice . then the big battering ram was taken up and a few thrusts at the door given . councilman morearty graboed hold of the bars over the window of the jailer's office and urged the",mob,on . morearty started the ball to rolling by thrusting his cane through the bars and breaking the windows . this act was met by applause and the councilman continued until every pane of glass in the two windows was shattered . battering at the door . a couple of,mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
0,2213_0.txt,1086,1086,"we'll tear him limb from limb , """" and the cries drowned the governor's voice . then the big battering ram was taken up and a few thrusts at the door given . councilman morearty graboed hold of the bars over the window of the jailer's office and urged the",mob,on . morearty started the ball to rolling by thrusting his cane through the bars and breaking the windows . this act was met by applause and the councilman continued until every pane of glass in the two windows was shattered . battering at the door . a couple of,mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
1,2213_0.txt,1333,1333,"of a leader as any one , said he would go and started to climb into the window , but was met by jailer lynch , who held a heavy colt's revolver at the old man's head and told him to keep out . the leader backed down and the",mob,"hissed . plank then a twenty- foot was brought up and shoved into the room clear ing it of its occupants , who retreated into the hall . again the old man stood up and was cheered . this time be went in , fol lowed by the mob ,",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
0,2213_0.txt,1333,1333,"of a leader as any one , said he would go and started to climb into the window , but was met by jailer lynch , who held a heavy colt's revolver at the old man's head and told him to keep out . the leader backed down and the",mob,"hissed . plank then a twenty- foot was brought up and shoved into the room clear ing it of its occupants , who retreated into the hall . again the old man stood up and was cheered . this time be went in , fol lowed by the mob ,",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
0,2213_0.txt,1382,1382,"the mob hissed . plank then a twenty- foot was brought up and shoved into the room clear ing it of its occupants , who retreated into the hall . again the old man stood up and was cheered . this time be went in , fol lowed by the",mob,", who crawled through the little aperature as fast as possible , while the crowd swarmed up like a pack of hungry wolves . while this was going on governor boyd endeavored to dissuade the mob from any acts of violence , but his council was opposed by councilman morearty",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
0,2213_0.txt,1382,1382,"the mob hissed . plank then a twenty- foot was brought up and shoved into the room clear ing it of its occupants , who retreated into the hall . again the old man stood up and was cheered . this time be went in , fol lowed by the",mob,", who crawled through the little aperature as fast as possible , while the crowd swarmed up like a pack of hungry wolves . while this was going on governor boyd endeavored to dissuade the mob from any acts of violence , but his council was opposed by councilman morearty",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
1,2213_0.txt,1418,1418,"and was cheered . this time be went in , fol lowed by the mob , who crawled through the little aperature as fast as possible , while the crowd swarmed up like a pack of hungry wolves . while this was going on governor boyd endeavored to dissuade the",mob,"from any acts of violence , but his council was opposed by councilman morearty , who shouted to the crowd to come on and waved his cane and hat frantically in the air . this sort of talk was all the crowd wanted and they pushed through the window as",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
0,2213_0.txt,1418,1418,"and was cheered . this time be went in , fol lowed by the mob , who crawled through the little aperature as fast as possible , while the crowd swarmed up like a pack of hungry wolves . while this was going on governor boyd endeavored to dissuade the",mob,"from any acts of violence , but his council was opposed by councilman morearty , who shouted to the crowd to come on and waved his cane and hat frantically in the air . this sort of talk was all the crowd wanted and they pushed through the window as",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
1,2213_0.txt,1887,1887,"attempt to do anything . the crowd was constantly receiving acces sions , and by this time there were about 10,000 people collected . the hill about the jail was literally black with people , and har ney street from eighteenth to sixteenth was filled with a howling , surging",mob,". it was a good- natured mob , however , but it was determined to carry its point . the several policemen in the crowd suddenly conceived the idea of forcing their way to the open win dow and proceeded to put the idea into effect . they had not",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
0,2213_0.txt,1887,1887,"attempt to do anything . the crowd was constantly receiving acces sions , and by this time there were about 10,000 people collected . the hill about the jail was literally black with people , and har ney street from eighteenth to sixteenth was filled with a howling , surging",mob,". it was a good- natured mob , however , but it was determined to carry its point . the several policemen in the crowd suddenly conceived the idea of forcing their way to the open win dow and proceeded to put the idea into effect . they had not",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
2,2213_0.txt,1894,1894,"was constantly receiving acces sions , and by this time there were about 10,000 people collected . the hill about the jail was literally black with people , and har ney street from eighteenth to sixteenth was filled with a howling , surging mob . it was a good- natured",mob,", however , but it was determined to carry its point . the several policemen in the crowd suddenly conceived the idea of forcing their way to the open win dow and proceeded to put the idea into effect . they had not gone raore than a few feet when",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
0,2213_0.txt,1894,1894,"was constantly receiving acces sions , and by this time there were about 10,000 people collected . the hill about the jail was literally black with people , and har ney street from eighteenth to sixteenth was filled with a howling , surging mob . it was a good- natured",mob,", however , but it was determined to carry its point . the several policemen in the crowd suddenly conceived the idea of forcing their way to the open win dow and proceeded to put the idea into effect . they had not gone raore than a few feet when",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
1,2213_0.txt,2346,2346,"in this door i will kill you . """" that kind of talk , coming from a man of cormack's caliber and backed by his reputation as a man of nerve and a dead shot , was too much for the crowd , so they swarmed back and joined the",mob,"on the lawn . at the side , between the jail and the north court house people in like sardines were packed in a box . the blows of the hammer on the steel cell recently occupied by neal came floating out through the window and nearly every blow was",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
0,2213_0.txt,2346,2346,"in this door i will kill you . """" that kind of talk , coming from a man of cormack's caliber and backed by his reputation as a man of nerve and a dead shot , was too much for the crowd , so they swarmed back and joined the",mob,"on the lawn . at the side , between the jail and the north court house people in like sardines were packed in a box . the blows of the hammer on the steel cell recently occupied by neal came floating out through the window and nearly every blow was",mob,1760,2213,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/2213/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1,Nebraska,../sample_corpus_1pct_article_text/2213_0.txt
