...1,file_id,article_id,sn,newspaper_name,year,month,day,page,edition,mod_id,URL,newspaper_state,filename,filepath
2569,8186,0,sn84028272,"The enterprise (Wellington, Ohi...)",1893,9,27,seq-6,ed-1,1,http://localhost:62222/pages/8186/ohi_cousteau_ver02/sn84028272/1893/09/27/ed-1/seq-6/1,Ohio,8186_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8186_0.txt
152,8187,0,sn84020558,"Arizona republican (Phoenix, Ariz.)",1892,1,15,seq-5,ed-1,1,http://localhost:62222/pages/8187/az_coyote_ver01/sn84020558/1892/01/15/ed-1/seq-5/1,Arizona,8187_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8187_0.txt
1828,8188,0,sn93060412,"The intelligencer (Lexington, Mo.)",1890,9,6,seq-3,ed-1,1,http://localhost:62222/pages/8188/mohi_eeyore_ver01/sn93060412/1890/09/06/ed-1/seq-3/1,Missouri,8188_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8188_0.txt
3159,8189,0,sn86064205,NA,1887,2,3,seq-6,ed-1,1,http://localhost:62222/pages/8189/txdn_echo_ver03/sn86064205/1887/02/03/ed-1/seq-6/1,Texas,8189_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8189_0.txt
1191,8190,0,sn82016014,"The Topeka state journal (Topeka, Kansas)",1910,9,3,seq-12,ed-1,1,http://localhost:62222/pages/8190/khi_edelbrock_ver01/sn82016014/1910/09/03/ed-1/seq-12/1,Kansas,8190_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8190_0.txt
1712,8191,0,sn90059522,"St. Paul daily globe (Saint Paul, Min...)",1893,8,29,seq-4,ed-1,1,http://localhost:62222/pages/8191/mnhi_gonvick_ver01/sn90059522/1893/08/29/ed-1/seq-4/1,Minnesota,8191_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8191_0.txt
3217,8192,0,sn85058130,The Salt Lake herald (Salt Lake City ...),1887,7,28,seq-1,ed-1,1,http://localhost:62222/pages/8192/uuml_griffith_ver01/sn85058130/1887/07/28/ed-1/seq-1/1,Utah,8192_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8192_0.txt
666,8193,0,sn82014424,"The Evening critic (Washington, D.C...)",1884,1,17,seq-1,ed-1,1,http://localhost:62222/pages/8193/dlc_franklin_ver01/sn82014424/1884/01/17/ed-1/seq-1/1,District of Columbia,8193_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8193_0.txt
2895,8194,0,sn98062948,NA,1887,11,17,seq-2,ed-1,1,http://localhost:62222/pages/8194/sdhi_imbe_ver01/sn98062948/1887/11/17/ed-1/seq-2/1,South Dakota,8194_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8194_0.txt
639,8196,0,sn86053573,NA,1887,6,14,seq-1,ed-1,2,http://localhost:62222/pages/8196/dlc_chester_ver02/sn86053573/1887/06/14/ed-1/seq-1/2,District of Columbia,8196_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8196_0.txt
69,8197,0,sn84023017,"The Russellville Democrat (Russellville, A...)",1893,11,30,seq-2,ed-1,1,http://localhost:62222/pages/8197/arhi_igglybuff_ver01/sn84023017/1893/11/30/ed-1/seq-2/1,Arkansas,8197_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8197_0.txt
1431,8200,0,sn87090131,"Tensas gazette (St. Joseph, La.)",1909,4,30,seq-4,ed-1,1,http://localhost:62222/pages/8200/lu_roulette_ver01/sn87090131/1909/04/30/ed-1/seq-4/1,Louisiana,8200_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8200_0.txt
2612,8201,0,sn85038161,"The News-Herald (Hillsboro, High...)",1887,2,10,seq-2,ed-1,1,http://localhost:62222/pages/8201/ohi_india_ver01/sn85038161/1887/02/10/ed-1/seq-2/1,Ohio,8201_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8201_0.txt
1172,8202,0,sn85030221,"The Emporia weekly news (Emporia, Kan.)",1885,7,2,seq-1,ed-1,1,http://localhost:62222/pages/8202/khi_brown_ver01/sn85030221/1885/07/02/ed-1/seq-1/1,Kansas,8202_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8202_0.txt
3575,8204,0,sn86072173,"The Cheyenne daily leader (Cheyenne, Wyo.) 1887-1895",1888,10,28,seq-1,ed-1,2,http://localhost:62222/pages/8204/wyu_calpet_ver02/sn86072173/1888/10/28/ed-1/seq-1/2,Wyoming,8204_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8204_0.txt
764,8207,0,sn83030214,New-York tribune (New York [N.Y.]),1888,12,27,seq-4,ed-1,2,http://localhost:62222/pages/8207/dlc_mazda_ver01/sn83030214/1888/12/27/ed-1/seq-4/2,New York,8207_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8207_0.txt
1879,8213,0,sn86074058,"The Brookhaven leader (Brookhaven, Mis...)",1888,6,21,seq-2,ed-1,3,http://localhost:62222/pages/8213/msar_agate_ver01/sn86074058/1888/06/21/ed-1/seq-2/3,Mississippi,8213_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8213_0.txt
780,8215,0,sn83045462,"Evening star (Washington, D.C...)",1912,10,6,seq-24,ed-1,2,http://localhost:62222/pages/8215/dlc_neptunian_ver01/sn83045462/1912/10/06/ed-1/seq-24/2,District of Columbia,8215_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8215_0.txt
1035,8220,0,sn82015679,The Indianapolis journal (Indianapolis [I...),1897,7,22,seq-5,ed-1,2,http://localhost:62222/pages/8220/in_bradlaugh_ver02/sn82015679/1897/07/22/ed-1/seq-5/2,Indiana,8220_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8220_0.txt
523,8222,0,sn84025968,Los Angeles herald (Los Angeles [Calif.]) 1890-1893,1890,11,1,seq-2,ed-1,2,http://localhost:62222/pages/8222/curiv_lovelock_ver01/sn84025968/1890/11/01/ed-1/seq-2/2,California,8222_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8222_0.txt
1233,8223,0,sn84029386,"Abilene weekly reflector (Abilene, Kan.)",1888,11,15,seq-2,ed-1,2,http://localhost:62222/pages/8223/khi_garwood_ver02/sn84029386/1888/11/15/ed-1/seq-2/2,Kansas,8223_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8223_0.txt
1190,8226,0,sn82015485,"Western Kansas world (WaKeeney, Kan.)",1889,7,13,seq-7,ed-1,1,http://localhost:62222/pages/8226/khi_earhart_ver01/sn82015485/1889/07/13/ed-1/seq-7/1,Kansas,8226_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8226_0.txt
2095,8237,0,sn94056415,NA,1897,2,12,seq-6,ed-1,2,http://localhost:62222/pages/8237/nbu_indianola_ver01/sn94056415/1897/02/12/ed-1/seq-6/2,Nebraska,8237_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8237_0.txt
578,8240,0,sn85042462,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1910,7,4,seq-1,ed-1,1,http://localhost:62222/pages/8240/curiv_rubidoux_ver01/sn85042462/1910/07/04/ed-1/seq-1/1,California,8240_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8240_0.txt
1387,8241,0,sn85052020,"Semi-weekly interior journal (Stanford, Ky.)",1886,10,8,seq-2,ed-1,1,http://localhost:62222/pages/8241/kyu_hairspray_ver01/sn85052020/1886/10/08/ed-1/seq-2/1,Kentucky,8241_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8241_0.txt
876,8242,0,sn86090947,NA,1909,6,4,seq-1,ed-1,1,http://localhost:62222/pages/8242/gu_graco_ver01/sn86090947/1909/06/04/ed-1/seq-1/1,Georgia,8242_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8242_0.txt
283,8244,0,sn90051548,NA,1909,11,18,seq-3,ed-1,1,http://localhost:62222/pages/8244/cohi_irwin_ver01/sn90051548/1909/11/18/ed-1/seq-3/1,Colorado,8244_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8244_0.txt
1258,8245,0,sn82014635,"The Wichita daily eagle (Wichita, Kan.)",1890,9,4,seq-2,ed-1,1,http://localhost:62222/pages/8245/khi_ingalls_ver02/sn82014635/1890/09/04/ed-1/seq-2/1,Kansas,8245_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8245_0.txt
1260,8245,1,sn82014635,"The Wichita daily eagle (Wichita, Kan.)",1890,9,4,seq-2,ed-1,1,http://localhost:62222/pages/8245/khi_ingalls_ver02/sn82014635/1890/09/04/ed-1/seq-2/1,Kansas,8245_1.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8245_1.txt
1028,8246,0,sn86091095,"The Ketchum keystone (Ketchum, Idaho)",1887,5,14,seq-3,ed-1,1,http://localhost:62222/pages/8246/idhi_iles_ver01/sn86091095/1887/05/14/ed-1/seq-3/1,Idaho,8246_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8246_0.txt
840,8247,0,sn86063034,"The morning news (Savannah, Ga.)",1887,7,20,seq-2,ed-1,1,http://localhost:62222/pages/8247/gu_bobbsey_ver02/sn86063034/1887/07/20/ed-1/seq-2/1,Georgia,8247_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8247_0.txt
3476,8248,1,sn85033255,"River Falls journal (River Falls, Pi...)",1884,1,3,seq-2,ed-1,1,http://localhost:62222/pages/8248/whi_galky_ver01/sn85033255/1884/01/03/ed-1/seq-2/1,Wisconsin,8248_1.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8248_1.txt
3477,8248,2,sn85033255,"River Falls journal (River Falls, Pi...)",1884,1,3,seq-2,ed-1,1,http://localhost:62222/pages/8248/whi_galky_ver01/sn85033255/1884/01/03/ed-1/seq-2/1,Wisconsin,8248_2.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8248_2.txt
37,8250,0,sn84022960,"The Forrest City times (Forrest City, A...)",1892,5,20,seq-1,ed-1,1,http://localhost:62222/pages/8250/arhi_alakazam_ver01/sn84022960/1892/05/20/ed-1/seq-1/1,Arkansas,8250_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8250_0.txt
39,8250,1,sn84022960,"The Forrest City times (Forrest City, A...)",1892,5,20,seq-1,ed-1,1,http://localhost:62222/pages/8250/arhi_alakazam_ver01/sn84022960/1892/05/20/ed-1/seq-1/1,Arkansas,8250_1.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8250_1.txt
110,8252,0,sn85038485,"The Birmingham age-herald (Birmingham, Ala...)",1910,7,5,seq-1,ed-1,1,http://localhost:62222/pages/8252/au_gaston_ver01/sn85038485/1910/07/05/ed-1/seq-1/1,Alabama,8252_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8252_0.txt
113,8252,1,sn85038485,"The Birmingham age-herald (Birmingham, Ala...)",1910,7,5,seq-1,ed-1,1,http://localhost:62222/pages/8252/au_gaston_ver01/sn85038485/1910/07/05/ed-1/seq-1/1,Alabama,8252_1.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8252_1.txt
114,8252,2,sn85038485,"The Birmingham age-herald (Birmingham, Ala...)",1910,7,5,seq-1,ed-1,1,http://localhost:62222/pages/8252/au_gaston_ver01/sn85038485/1910/07/05/ed-1/seq-1/1,Alabama,8252_2.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8252_2.txt
107,8252,3,sn85038485,"The Birmingham age-herald (Birmingham, Ala...)",1910,7,5,seq-1,ed-1,1,http://localhost:62222/pages/8252/au_gaston_ver01/sn85038485/1910/07/05/ed-1/seq-1/1,Alabama,8252_3.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8252_3.txt
116,8252,4,sn85038485,"The Birmingham age-herald (Birmingham, Ala...)",1910,7,5,seq-1,ed-1,1,http://localhost:62222/pages/8252/au_gaston_ver01/sn85038485/1910/07/05/ed-1/seq-1/1,Alabama,8252_4.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8252_4.txt
1925,8253,0,sn85034447,"The Magnolia gazette (Magnolia, Miss.)",1892,6,25,seq-3,ed-1,1,http://localhost:62222/pages/8253/msar_ikat_ver01/sn85034447/1892/06/25/ed-1/seq-3/1,Mississippi,8253_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8253_0.txt
1661,8254,0,sn83016589,"The Mankato free press (Mankato, Blue E...)",1892,5,6,seq-6,ed-1,1,http://localhost:62222/pages/8254/mnhi_fencing_ver02/sn83016589/1892/05/06/ed-1/seq-6/1,Minnesota,8254_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8254_0.txt
1660,8254,1,sn83016589,"The Mankato free press (Mankato, Blue E...)",1892,5,6,seq-6,ed-1,1,http://localhost:62222/pages/8254/mnhi_fencing_ver02/sn83016589/1892/05/06/ed-1/seq-6/1,Minnesota,8254_1.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8254_1.txt
3510,8256,0,sn86086770,NA,1892,10,15,seq-2,ed-1,1,http://localhost:62222/pages/8256/whi_jane_ver01/sn86086770/1892/10/15/ed-1/seq-2/1,Wisconsin,8256_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8256_0.txt
3507,8256,1,sn86086770,NA,1892,10,15,seq-2,ed-1,1,http://localhost:62222/pages/8256/whi_jane_ver01/sn86086770/1892/10/15/ed-1/seq-2/1,Wisconsin,8256_1.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8256_1.txt
3060,8257,0,sn93063896,NA,1886,2,27,seq-4,ed-1,1,http://localhost:62222/pages/8257/tu_gordon_ver01/sn93063896/1886/02/27/ed-1/seq-4/1,Tennessee,8257_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8257_0.txt
1234,8258,0,sn85032801,"People's voice (Wellington, Sum...)",1893,5,12,seq-6,ed-1,1,http://localhost:62222/pages/8258/khi_goodnow_ver01/sn85032801/1893/05/12/ed-1/seq-6/1,Kansas,8258_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8258_0.txt
1835,8259,0,sn89067453,NA,1892,2,18,seq-4,ed-1,1,http://localhost:62222/pages/8259/mohi_flash_ver02/sn89067453/1892/02/18/ed-1/seq-4/1,Missouri,8259_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8259_0.txt
1836,8260,0,sn89067453,NA,1893,2,9,seq-4,ed-1,1,http://localhost:62222/pages/8260/mohi_flash_ver02/sn89067453/1893/02/09/ed-1/seq-4/1,Missouri,8260_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8260_0.txt
1870,8262,0,sn89066818,NA,1892,10,22,seq-1,ed-1,1,http://localhost:62222/pages/8262/mohi_jerome_ver01/sn89066818/1892/10/22/ed-1/seq-1/1,Missouri,8262_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8262_0.txt
1872,8262,1,sn89066818,NA,1892,10,22,seq-1,ed-1,1,http://localhost:62222/pages/8262/mohi_jerome_ver01/sn89066818/1892/10/22/ed-1/seq-1/1,Missouri,8262_1.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8262_1.txt
2446,8263,0,sn88076679,NA,1892,5,28,seq-2,ed-1,1,http://localhost:62222/pages/8263/ndhi_lawrencium_ver01/sn88076679/1892/05/28/ed-1/seq-2/1,North Dakota,8263_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8263_0.txt
676,8264,0,sn84025891,"The Washington bee (Washington, D.C...)",1887,5,7,seq-1,ed-1,1,http://localhost:62222/pages/8264/dlc_grover_ver01/sn84025891/1887/05/07/ed-1/seq-1/1,District of Columbia,8264_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8264_0.txt
677,8264,1,sn84025891,"The Washington bee (Washington, D.C...)",1887,5,7,seq-1,ed-1,1,http://localhost:62222/pages/8264/dlc_grover_ver01/sn84025891/1887/05/07/ed-1/seq-1/1,District of Columbia,8264_1.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8264_1.txt
678,8264,2,sn84025891,"The Washington bee (Washington, D.C...)",1887,5,7,seq-1,ed-1,1,http://localhost:62222/pages/8264/dlc_grover_ver01/sn84025891/1887/05/07/ed-1/seq-1/1,District of Columbia,8264_2.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8264_2.txt
1075,8268,0,sn87082573,NA,1884,6,28,seq-3,ed-1,1,http://localhost:62222/pages/8268/iune_archives_ver01/sn87082573/1884/06/28/ed-1/seq-3/1,Illinois,8268_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8268_0.txt
846,8269,0,sn86063034,"The morning news (Savannah, Ga.)",1890,3,21,seq-2,ed-1,1,http://localhost:62222/pages/8269/gu_columbo_ver02/sn86063034/1890/03/21/ed-1/seq-2/1,Georgia,8269_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8269_0.txt
847,8269,1,sn86063034,"The morning news (Savannah, Ga.)",1890,3,21,seq-2,ed-1,1,http://localhost:62222/pages/8269/gu_columbo_ver02/sn86063034/1890/03/21/ed-1/seq-2/1,Georgia,8269_1.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8269_1.txt
1443,8272,0,sn85038292,"The Democratic advocate (Westminster, Md...)",1886,3,13,seq-3,ed-1,1,http://localhost:62222/pages/8272/mdu_douglass_ver01/sn85038292/1886/03/13/ed-1/seq-3/1,Maryland,8272_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8272_0.txt
787,8273,0,sn84024441,"The evening times (Washington, D.C...)",1901,2,18,seq-6,ed-1,1,http://localhost:62222/pages/8273/dlc_november_ver01/sn84024441/1901/02/18/ed-1/seq-6/1,District of Columbia,8273_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8273_0.txt
3368,8274,0,sn84023253,"St. Johnsbury Caledonian (St. Johnsbury, ...)",1901,9,4,seq-5,ed-1,1,http://localhost:62222/pages/8274/vtu_enosburg_ver01/sn84023253/1901/09/04/ed-1/seq-5/1,Vermont,8274_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8274_0.txt
2809,8276,0,sn96090259,NA,1909,8,6,seq-6,ed-1,1,http://localhost:62222/pages/8276/sdhi_dagger_ver01/sn96090259/1909/08/06/ed-1/seq-6/1,South Dakota,8276_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8276_0.txt
841,8278,0,sn86063034,"The morning news (Savannah, Ga.)",1887,10,18,seq-1,ed-1,1,http://localhost:62222/pages/8278/gu_bobbsey_ver02/sn86063034/1887/10/18/ed-1/seq-1/1,Georgia,8278_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8278_0.txt
1790,8280,0,sn90059522,"St. Paul daily globe (Saint Paul, Min...)",1887,8,15,seq-2,ed-1,1,http://localhost:62222/pages/8280/mnhi_sebeka_ver01/sn90059522/1887/08/15/ed-1/seq-2/1,Minnesota,8280_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8280_0.txt
